lga_code,lga_name
20110,Alpine
20260,Ararat
20570,Ballarat
20660,Banyule
20740,Bass Coast
20830,Baw Baw
20910,Bayside (Vic.)
21010,Benalla
21110,Boroondara
21180,Brimbank
21270,Buloke
21370,Campaspe
21450,Cardinia
21610,Casey
21670,Central Goldfields
21750,Colac Otway
21830,Corangamite
21890,Darebin
22110,East Gippsland
22170,Frankston
22250,Gannawarra
22310,Glen Eira
22410,Glenelg
22490,Golden Plains
22620,Greater Bendigo
22670,Greater Dandenong
22750,Greater Geelong
22830,Greater Shepparton
22910,Hepburn
22980,Hindmarsh
23110,Hobsons Bay
23190,Horsham
23270,Hume
23350,Indigo
23430,Kingston (Vic.)
23670,Knox
23810,Latrobe (Vic.)
23940,Loddon
24130,Macedon Ranges
24210,Manningham
24250,Mansfield
24330,Maribyrnong
24410,Maroondah
24600,Melbourne
24650,Melton
24700,Merri-bek
24780,Mildura
24850,Mitchell
24900,Moira
24970,Monash
25060,Moonee Valley
25150,Moorabool
25340,Mornington Peninsula
25430,Mount Alexander
25490,Moyne
25620,Murrindindi
25710,Nillumbik
25810,Northern Grampians
25900,Port Phillip
25990,Pyrenees
26080,Queenscliffe
26170,South Gippsland
26260,Southern Grampians
26350,Stonnington
26430,Strathbogie
26490,Surf Coast
26610,Swan Hill
26670,Towong
26700,Wangaratta
26730,Warrnambool
26810,Wellington
26890,West Wimmera
26980,Whitehorse
27070,Whittlesea
27170,Wodonga
27260,Wyndham
27350,Yarra
27450,Yarra Ranges
27630,Yarriambiack
29399,Unincorporated Vic
