lga_name,lga_abbr,lga_code,lga_abs,lga_vgccc
Alpine Shire Council,Alpine,20110,Alpine,Shire of Alpine
Ararat Rural City Council,Ararat,20260,Ararat,Rural City of Ararat
Ballarat City Council,Ballarat,20570,Ballarat,City of Ballarat
Banyule City Council,Banyule,20660,Banyule,City of Banyule
Bass Coast Shire Council,Bass Coast,20740,Bass Coast,Shire of Bass Coast
Baw Baw Shire Council,Baw Baw,20830,Baw Baw,Shire of Baw Baw
Bayside City Council,Bayside,20910,Bayside (Vic.),City of Bayside
Benalla Rural City Council,Benalla,21010,Benalla,Rural City of Benalla
Boroondara City Council,Boroondara,21110,Boroondara,City of Boroondara
Brimbank City Council,Brimbank,21180,Brimbank,City of Brimbank
Buloke Shire Council,Buloke,21270,Buloke,Shire of Buloke
Campaspe Shire Council,Campaspe,21370,Campaspe,Shire of Campaspe
Cardinia Shire Council,Cardinia,21450,Cardinia,Shire of Cardinia
Casey City Council,Casey,21610,Casey,City of Casey
Central Goldfields Shire Council,Central Goldfields,21670,Central Goldfields,Shire of Central Goldfields
Colac Otway Shire Council,Colac Otway,21750,Colac Otway,Shire of Colac-Otway
Corangamite Shire Council,Corangamite,21830,Corangamite,Shire of Corangamite
Darebin City Council,Darebin,21890,Darebin,City of Darebin
East Gippsland Shire Council,East Gippsland,22110,East Gippsland,Shire of East Gippsland
Frankston City Council,Frankston,22170,Frankston,City of Frankston
Gannawarra Shire Council,Gannawarra,22250,Gannawarra,Shire of Gannawarra
Glen Eira City Council,Glen Eira,22310,Glen Eira,City of Glen Eira
Glenelg Shire Council,Glenelg,22410,Glenelg,Shire of Glenelg
Golden Plains Shire Council,Golden Plains,22490,Golden Plains,Shire of Golden Plains
Greater Bendigo City Council,Greater Bendigo,22620,Greater Bendigo,City of Greater Bendigo
Greater Dandenong City Council,Greater Dandenong,22670,Greater Dandenong,City of Greater Dandenong
Greater Geelong City Council,Greater Geelong,22750,Greater Geelong,City of Greater Geelong
Greater Shepparton City Council,Greater Shepparton,22830,Greater Shepparton,City of Greater Shepparton
Hepburn Shire Council,Hepburn,22910,Hepburn,Shire of Hepburn
Hindmarsh Shire Council,Hindmarsh,22980,Hindmarsh,Shire of Hindmarsh
Hobsons Bay City Council,Hobsons Bay,23110,Hobsons Bay,City of Hobsons Bay
Horsham Rural City Council,Horsham,23190,Horsham,Rural City of Horsham
Hume City Council,Hume,23270,Hume,City of Hume
Indigo Shire Council,Indigo,23350,Indigo,Shire of Indigo
Kingston City Council,Kingston,23430,Kingston (Vic.),City of Kingston
Knox City Council,Knox,23670,Knox,City of Knox
Latrobe City Council,Latrobe,23810,Latrobe (Vic.),City of Latrobe
Loddon Shire Council,Loddon,23940,Loddon,Shire of Loddon
Macedon Ranges Shire Council,Macedon Ranges,24130,Macedon Ranges,Shire of Macedon Ranges
Manningham City Council,Manningham,24210,Manningham,City of Manningham
Mansfield Shire Council,Mansfield,24250,Mansfield,Shire of Mansfield
Maribyrnong City Council,Maribyrnong,24330,Maribyrnong,City of Maribyrnong
Maroondah City Council,Maroondah,24410,Maroondah,City of Maroondah
Melbourne City Council,Melbourne,24600,Melbourne,City of Melbourne
Melton City Council,Melton,24650,Melton,City of Melton
Merri-bek City Council,Merri-bek,24700,Merri-bek,City of Moreland
Mildura Rural City Council,Mildura,24780,Mildura,Rural City of Mildura
Mitchell Shire Council,Mitchell,24850,Mitchell,Shire of Mitchell
Moira Shire Council,Moira,24900,Moira,Shire of Moira
Monash City Council,Monash,24970,Monash,City of Monash
Moonee Valley City Council,Moonee Valley,25060,Moonee Valley,City of Moonee Valley
Moorabool Shire Council,Moorabool,25150,Moorabool,Shire of Moorabool
Mornington Peninsula Shire Council,Mornington Peninsula,25340,Mornington Peninsula,Shire of Mornington Peninsula
Mount Alexander Shire Council,Mount Alexander,25430,Mount Alexander,Shire of Mount Alexander
Moyne Shire Council,Moyne,25490,Moyne,Shire of Moyne
Murrindindi Shire Council,Murrindindi,25620,Murrindindi,Shire of Murrindindi
Nillumbik Shire Council,Nillumbik,25710,Nillumbik,Shire of Nillumbik
Northern Grampians Shire Council,Northern Grampians,25810,Northern Grampians,Shire of Northern Grampians
Port Phillip City Council,Port Phillip,25900,Port Phillip,City of Port Phillip
Pyrenees Shire Council,Pyrenees,25990,Pyrenees,Shire of Pyrenees
Borough of Queenscliffe,Queenscliffe,26080,Queenscliffe,Borough of Queenscliffe
South Gippsland Shire Council,South Gippsland,26170,South Gippsland,Shire of South Gippsland
Southern Grampians Shire Council,Southern Grampians,26260,Southern Grampians,Shire of Southern Grampians
Stonnington City Council,Stonnington,26350,Stonnington,City of Stonnington
Strathbogie Shire Council,Strathbogie,26430,Strathbogie,Shire of Strathbogie
Surf Coast Shire Council,Surf Coast,26490,Surf Coast,Shire of Surf Coast
Swan Hill Rural City Council,Swan Hill,26610,Swan Hill,Rural City of Swan Hill
Towong Shire Council,Towong,26670,Towong,Shire of Towong
Wangaratta Rural City Council,Wangaratta,26700,Wangaratta,Rural City of Wangaratta
Warrnambool City Council,Warrnambool,26730,Warrnambool,City of Warrnambool
Wellington Shire Council,Wellington,26810,Wellington,Shire of Wellington
West Wimmera Shire Council,West Wimmera,26890,West Wimmera,Shire of West Wimmera
Whitehorse City Council,Whitehorse,26980,Whitehorse,City of Whitehorse
Whittlesea City Council,Whittlesea,27070,Whittlesea,City of Whittlesea
Wodonga City Council,Wodonga,27170,Wodonga,Rural City of Wodonga
Wyndham City Council,Wyndham,27260,Wyndham,City of Wyndham
Yarra City Council,Yarra,27350,Yarra,City of Yarra
Yarra Ranges Shire Council,Yarra Ranges,27450,Yarra Ranges,Shire of Yarra Ranges
Yarriambiack Shire Council,Yarriambiack,27630,Yarriambiack,Shire of Yarriambiack
Unincorporated Victoria,Unincoporated,29399,Unincorporated Vic,Unincorporated Vic
